id,created_at,updated_at,TR_TARGET_ID,DRUG_ID,INTEGRITY_PATENT_ID,TARGET_NAME,DRUG_NAME,PRODUCT_CATEGORY,MOLECULAR_MECHANISM,CELLULAR_MECHANISM,UNDER_ACTIVE_DEVELOPMENT,HIGHEST_PHASE,INACTIVE_CONDITIONS,ORIGINATOR_ORGANIZATION,INACTIVE_ORGANIZATION,ACTIVE_CONDITIONS,SMILES,SEQUENCE,CAS_NUMBER,CORTELLIS_ID,ACTIVE_ORGANIZATION
1,2016-04-05 22:59:30.529092,2016-04-05 22:59:30.529092,63831690820993,911053,460104,Estrogen receptor,911053,"Estrogens
Sterols",Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Preclinical,Diagnostics,"Tokyo Metrop Geriatr Hosp Inst Gerontol
Waseda University
Junsei Chemical","Tokyo Metrop Geriatr Hosp Inst Gerontol
Waseda University
Junsei Chemical",,C[C@]12CC[C@@H]3c4ccc(cc4C[C@H]([C@H]3[C@@H]1CC[C@@H]2O)C[18F])O,,,Null,
2,2016-04-05 22:59:30.535030,2016-04-05 22:59:30.535030,63831690820993,906394,,Estrogen receptor,AG-670/08803023,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,,Zhejiang Academy of Medical Sciences,,Cc1ccc2c(c1)c(cc([n+]2C(=O)COc3ccc(cc3)Br)Nc4ccc(cc4)OC)C,,,Null,
3,2016-04-05 22:59:30.539536,2016-04-05 22:59:30.539536,63831690820993,906390,,Estrogen receptor,AH-262/34334025,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,,Zhejiang Academy of Medical Sciences,,CCOC(=O)c1c(sc(c1NNC(=O)C)SC#N)C,,,Null,
4,2016-04-05 22:59:30.543899,2016-04-05 22:59:30.543899,63831690820993,897119,,Estrogen receptor,NJK-14013,Null,Estrogen Receptor (ER) alpha Agonists,"Signal Transduction Modulators
Apoptosis Inducers",N,Biological Testing,Cancer,Kyung Hee University,Kyung Hee University,,CC(C)CCON=C(c1ccc(cc1)O)c2ccc(cc2)O,,,Null,
5,2016-04-05 22:59:30.547725,2016-04-05 22:59:30.547725,63831690820993,897118,,Estrogen receptor,NJK-13054,Null,Estrogen Receptor (ER) alpha Agonists,Signal Transduction Modulators,N,Biological Testing,Cancer,Kyung Hee University,Kyung Hee University,,CCCCO/N=C(\C)/c1ccc(cc1)O,,,Null,
6,2016-04-05 22:59:30.551745,2016-04-05 22:59:30.551745,63831690820993,894891,540389,Estrogen receptor,894891,Null,"Estrogen Receptor (ER) beta Antagonists
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Wuhan University,Wuhan University,,c1ccc2c(c1)cccc2OS(=O)(=O)[C@H]3C[C@@H]4C(=C([C@H]3O4)c5ccc(cc5)NC(=O)CCCCCCC(=O)O)c6ccc(cc6)O,,,Null,
7,2016-04-05 22:59:30.556512,2016-04-05 22:59:30.556512,63831690820993,894890,540389,Estrogen receptor,894890,Null,"Estrogen Receptor (ER) beta Agonists
Histone Deacetylase 1 (HDAC1) Inhibitors
Estrogen Receptor (ER) alpha Agonists
Histone Deacetylase 6 (HDAC6) Inhibitors",Signal Transduction Modulators,N,Biological Testing,Cancer,Wuhan University,Wuhan University,,c1cc(ccc1C2=C([C@H]3C[C@@H]([C@@H]2O3)S(=O)(=O)Oc4ccc(cc4)Cl)c5ccc(cc5)O)NC(=O)CCCCCCC(=O)O,,,Null,
8,2016-04-05 22:59:30.560805,2016-04-05 22:59:30.560805,63831690820993,894889,540389,Estrogen receptor,894889,Null,"Estrogen Receptor (ER) beta Agonists
Estrogen Receptor (ER) alpha Agonists
Histone Deacetylase 6 (HDAC6) Inhibitors",Signal Transduction Modulators,N,Biological Testing,Cancer,Wuhan University,Wuhan University,,c1cc(cc(c1)OS(=O)(=O)[C@H]2C[C@@H]3C(=C([C@H]2O3)c4ccc(cc4)NC(=O)CCCCCCC(=O)O)c5ccc(cc5)O)O,,,Null,
9,2016-04-05 22:59:30.565086,2016-04-05 22:59:30.565086,63831690820993,894887,540389,Estrogen receptor,894887,Null,"Estrogen Receptor (ER) beta Agonists
Histone Deacetylase 1 (HDAC1) Inhibitors
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Wuhan University,Wuhan University,,Cc1ccccc1OS(=O)(=O)[C@H]2C[C@@H]3C(=C([C@H]2O3)c4ccc(cc4)NC(=O)CCCCCCC(=O)O)c5ccc(cc5)O,,,Null,
10,2016-04-05 22:59:30.569450,2016-04-05 22:59:30.569450,63831690820993,894886,540389,Estrogen receptor,894886,Null,"Histone Deacetylase 1 (HDAC1) Inhibitors
Estrogen Receptor (ER) beta Antagonists
Estrogen Receptor (ER) alpha Antagonists",Signal Transduction Modulators,N,Biological Testing,Cancer,Wuhan University,Wuhan University,,c1cc(ccc1C2=C([C@@H]3[C@H](C[C@H]2O3)S(=O)(=O)Oc4ccc(cc4)NC(=O)CCCCCCC(=O)O)c5ccc(cc5)O)O,,,Null,
11,2016-04-05 22:59:30.573342,2016-04-05 22:59:30.573342,63831690820993,893334,,Estrogen receptor,893334,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,"Tokyo University Pharmacy Life Sciences
Tokyo Institute of Technology
National Institute of Health Sciences","Tokyo University Pharmacy Life Sciences
Tokyo Institute of Technology
National Institute of Health Sciences",,CCCCCCCCCCNCCOc1ccc(cc1)/C(=C(/CC)\c2ccccc2)/c3ccc(cc3)O,,,Null,
12,2016-04-05 22:59:30.577874,2016-04-05 22:59:30.577874,63831690820993,893331,,Estrogen receptor,893331,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Biological Testing,Cancer,"Tokyo University Pharmacy Life Sciences
Tokyo Institute of Technology
National Institute of Health Sciences","Tokyo University Pharmacy Life Sciences
Tokyo Institute of Technology
National Institute of Health Sciences",,CC/C(=C(\c1ccc(cc1)O)/c2ccc(cc2)OCCNCCCCCCCCCCF)/c3ccccc3,,,Null,
13,2016-04-05 22:59:30.581799,2016-04-05 22:59:30.581799,63831690820993,891047,,Estrogen receptor,891047,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Preclinical,Cancer,"Northeastern University, Boston
University of Chicago","Northeastern University, Boston
University of Chicago",,c1cc(cc(c1)O)C(=C(c2ccc(cc2)O)c3ccc(cc3)O)Br,,,Null,
14,2016-04-05 22:59:30.586022,2016-04-05 22:59:30.586022,63831690820993,891044,,Estrogen receptor,891044,Null,Estrogen Receptor (ER) alpha Ligands,Signal Transduction Modulators,N,Preclinical,Cancer,"Northeastern University, Boston
University of Chicago","Northeastern University, Boston
University of Chicago",,c1cc(cc(c1)O)C(=C(c2ccc(cc2)O)c3ccc(cc3)O)I,,,Null,
